병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,데이터기준일자
석산정신건강의학과의원,의원,031-411-8114,"경기도 안산시 단원구 고잔로 76, 영풍빌딩 306호 (고잔동)",09:30~18:00,09:30~18:00,09:30~13:00,09:30~18:00,09:30~20:00,09:30~13:00,,,2022-06-01
선내과의원,의원,031-483-0333,"경기도 안산시 단원구 선부로 187, 유송프라자 3,4층 일부호 (선부동)",08:30~18:00,08:30~17:00,08:30~18:00,08:30~13:00,08:30~18:00,08:30~13:00,,,2022-06-01
선부고려소아과의원,의원,031-439-4378,"경기도 안산시 단원구 석수로5길 13, 2층 (선부동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,,08:30~14:00,2022-06-01
선부연세내과의원,의원,031-410-5080,"경기도 안산시 단원구 선부로 183, 3층 305-1,306~307호 (선부동, 화성프라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,,,2022-06-01
선부재활의학과의원,의원,031-403-7588,"경기도 안산시 단원구 선부광장1로 70, 401호 (선부동, 군자빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
선부한빛의원,의원,031-480-0206,"경기도 안산시 단원구 달미로 84, 2~3층 (선부동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,,,2022-06-01
성모마음아정신건강의학과의원,의원,031-439-1004,"경기도 안산시 단원구 선부광장1로 56, 3층 305호 (선부동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
성모안과의원,의원,031-403-9111,"경기도 안산시 단원구 선부광장1로 56, 404호 (선부동, 일성빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
성모이비인후과의원,의원,031-485-0585,"경기도 안산시 단원구 선부광장1로 66, 207호 (선부동, 용헌빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,,09:00~17:00,2022-06-01
성민의원,의원,031-493-7572,"경기도 안산시 단원구 중앙대로 457, 2,3층 (원곡동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,2022-06-01
세인트파크산부인과의원,의원,031-414-4800,"경기도 안산시 단원구 광덕대로 174, 월드타운 B동 404호 (고잔동)",09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~16:00,,,2022-06-01
세종정형외과의원,의원,031-439-7500,"경기도 안산시 단원구 초지로 100, 306~308호 (초지동, 세종프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
소문난연세마취통증의학과의원,의원,031-410-7582,"경기도 안산시 단원구 광덕대로 187, 211,212.213호 (고잔동, 장은타워)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,2022-06-01
속편한내과의원,의원,031-413-0852,"경기도 안산시 단원구 고잔로 54, 402호-405호 (고잔동, 에이스타워)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:30,,,2022-06-01
송기헌소아과의원,의원,031-401-1373,"경기도 안산시 단원구 화정로 6, 208호 (선부동, 삼희프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,10:00~12:00,09:00~13:00,2022-06-01
신길가정의학과의원,의원,031-365-5327,"경기도 안산시 단원구 도일로 60-15, 401호 (신길동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,2022-06-01
신태식정형외과의원,의원,031-495-1333,경기도 안산시 단원구 화랑로 41 (원곡동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:30,,,2022-06-01
안산마디튼튼의원,의원,031-403-7585,"경기도 안산시 단원구 예술대학로 9, 보배프라자 601,602호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
안산방사선과의원,의원,031-487-0304,"경기도 안산시 단원구 광덕2로 164, 2층 (고잔동, 메디피아빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,,,2022-06-01
안산봄내과의원,의원,031-365-5193,"경기도 안산시 단원구 선부광장1로 84, 새한프라자 301,303호 (선부동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,,,,2022-06-01
안산산부인과의원,의원,031-495-4587,"경기도 안산시 단원구 원곡로 61, 2층 (원곡동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,,,2022-06-01
안산서해의원,의원,031-491-8008,"경기도 안산시 단원구 화랑로 65-1 (원곡동, (지하 1층~3층))",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,09:00~17:00,09:00~17:00,2022-06-01
안산성모정형외과의원,의원,031-405-4700,"경기도 안산시 단원구 선부광장1로 56, 4층 401,407호 (선부동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
안산연세안과의원,의원,031-487-9077,경기도 안산시 단원구 고잔2길 59,09:30~18:30,09:30~20:00,09:30~18:30,09:30~18:30,09:30~20:00,09:30~15:00,,09:30~15:00,2022-06-01
안산예쁨주의쁨의원,의원,031-402-7717,"경기도 안산시 단원구 고잔로 88, 305, 310, 311호 (고잔동)",10:30~21:00,10:30~21:00,10:30~20:00,10:30~20:00,10:30~21:00,10:30~17:00,,,2022-06-01
안산우리정신건강의학과의원,의원,031-487-3375,"경기도 안산시 단원구 광덕4로 260, 501~505호 (고잔동, 윈윈프라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,,,2022-06-01
안산윤내과의원,의원,031-487-8072,"경기도 안산시 단원구 초지동로 35, 2층 (초지동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,,,2022-06-01
안산적성의원,의원,031-481-8427,"경기도 안산시 단원구 순환로 352 (와동, 안산운전면허시험장)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
안산중앙내과의원,의원,031-481-8275,"경기도 안산시 단원구 고잔로 88, 505, 506호 (고잔동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
안산중앙역마취통증의학과의원,의원,031-402-7585,"경기도 안산시 단원구 고잔로 72, 503~507호 (고잔동)",10:00~20:30,10:00~20:30,10:00~20:30,10:00~20:30,10:00~18:30,10:00~14:00,,,2022-06-01
안산중앙튼튼탑의원,의원,031-8088-7588,"경기도 안산시 단원구 고잔1길 7, 석탑프라자 401~403호 (고잔동)",09:00~19:00,09:00~21:00,09:00~19:00,09:00~21:00,09:00~19:00,09:00~14:00,,,2022-06-01
안산테크마의원,의원,031-412-2900,"경기도 안산시 단원구 광덕2로 164, 2,3층 (고잔동, 메디피아)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,,,2022-06-01
안산휴의원,의원,031-475-4116,"경기도 안산시 단원구 고잔로 88, 409호 (고잔동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,,,2022-06-01
안승찬내과의원,의원,031-507-7585,"경기도 안산시 단원구 광덕3로 178, 304호 (고잔동, 화승타운)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,09:00~13:00,2022-06-01
압구정디오성형외과의원,의원,031-405-0351,"경기도 안산시 단원구 고잔2길 45, 402호 (고잔동, 코스모프라자)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
압구정라인의원,의원,031-414-7575,경기도 안산시 단원구 광덕대로 187 (고잔동),10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,,,2022-06-01
양은수내과의원,의원,031-401-8517,"경기도 안산시 단원구 초지로 100, 302호 (초지동, 세종프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,2022-06-01
에스미의원,의원,031-475-7582,"경기도 안산시 단원구 고잔로 76 205호(고잔동, 영풍프라자) (고잔동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:30,,,2022-06-01
에스안과의원,의원,031-413-8555,"경기도 안산시 단원구 고잔로 76, 영풍빌딩 401,403-1,404,406,407,408-1호 (고잔동)",09:30~18:30,09:30~20:00,09:30~18:30,09:30~18:30,09:30~18:30,09:00~14:00,,,2022-06-01
에스정형외과의원,의원,031-482-7588,"경기도 안산시 단원구 예술대학로 17, 411~412호,414~415호 (고잔동, 중앙노블레스)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
엔비의원,의원,031-485-7550,"경기도 안산시 단원구 고잔로 76, 210-1,211,211-1,212,213,214호 (고잔동, 영풍빌딩)",10:00~19:00,10:00~20:00,10:00~19:00,10:00~20:00,10:00~19:00,09:30~14:00,,,2022-06-01
연세88마취통증의학과의원,의원,031-401-8575,"경기도 안산시 단원구 광덕대로 174, B동 405호 (고잔동, 월드타운)",09:00~19:00,09:00~19:00,08:30~14:00,09:00~19:00,09:00~19:00,08:30~14:00,,,2022-06-01
연세꿈소아청소년과의원,의원,031-413-1277,"경기도 안산시 단원구 원초로 30, 301호 (원곡동, 보성프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,09:00~13:00,,2022-06-01
연세드림정신과의원,의원,031-413-9792,"경기도 안산시 단원구 광덕대로 161, 401~402호 (고잔동, 웅신아트프라자)",09:30~19:00,09:30~19:00,,09:30~19:00,09:30~19:00,09:30~16:00,,,2022-06-01
연세로운성형외과의원,의원,031-402-7660,"경기도 안산시 단원구 고잔로 88, 206호 (고잔동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,,,,2022-06-01
연세박내과의원,의원,031-405-8844,"경기도 안산시 단원구 초지로 114, 303호 (초지동, 주공프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
연세아이소망여성의원,의원,031-365-5245,"경기도 안산시 단원구 고잔로 102, 대지스타타워 305~307, 501~504호 (고잔동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~14:00,,,2022-06-01
연세의원,의원,031-487-9191,"경기도 안산시 단원구 중앙대로 915, 516~517호 (고잔동, 월드코아빌딩)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~16:30,,,2022-06-01
연세이비인후과의원,의원,031-414-8811,"경기도 안산시 단원구 선부로 185, 201호 (선부동, 대흥빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,09:00~13:00,2022-06-01
연세정재활의학과의원,의원,031-486-7800,"경기도 안산시 단원구 당곡로 27, 301~304호,312호 (고잔동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,09:00~13:00,,,2022-06-01
연세킹의원,의원,031-508-0365,"경기도 안산시 단원구 중앙대로 421, 302-3,303,304호 (신길동, 모리아 오피스텔)",09:00~19:00,09:00~19:00,09:00~19:00,14:00~19:00,09:00~19:00,08:00~13:00,,,2022-06-01
열린산부인과의원,의원,031-405-3572,"경기도 안산시 단원구 선부광장1로 22, 3층,4층 (선부동, 한우리크리닉센타)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~21:00,09:00~19:00,09:00~16:00,09:00~13:00,,2022-06-01
염이비인후과의원,의원,031-484-2637,"경기도 안산시 단원구 고잔1길 16, 401호 (고잔동, 중앙마케이트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,,,2022-06-01
예일의원,의원,031-405-1114,"경기도 안산시 단원구 고잔로 76, 308-1,308-2,309~311호 (고잔동, 영풍빌딩)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,,,2022-06-01
예플러스이비인후과의원,의원,031-405-6780,"경기도 안산시 단원구 원포공원1로 49, 태영타운 308,309일부,314,315호 (초지동)",09:00~18:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~18:30,09:00~14:00,09:00~16:00,09:00~16:00,2022-06-01
온새미로의원,의원,031-414-5315,경기도 안산시 단원구 선부광장1로 56 (선부동),09:00~19:00,09:30~19:00,09:00~14:00,09:30~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
우리동네정신건강의학과의원,의원,031-483-7577,"경기도 안산시 단원구 중앙대로 915, 501호,504호 (고잔동, 월드코아빌딩)",09:30~18:00,09:30~17:00,09:30~18:00,14:00~18:00,09:30~18:00,09:30~13:00,,,2022-06-01
우리들가족의원,의원,031-407-7771,"경기도 안산시 단원구 민속공원로 81, 2층 (고잔동)",09:30~19:00,09:30~19:00,14:00~19:00,09:30~19:00,09:30~19:00,09:30~13:00,,,2022-06-01
우리들내과의원,의원,031-413-3877,"경기도 안산시 단원구 선부광장1로 66 (선부동, 용현빌딩 201,202호)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
우리들연합의원,의원,031-485-4855,"경기도 안산시 단원구 와동로 4, 2층 (와동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,09:00~13:00,09:00~13:00,2022-06-01
우리마취통증의학과의원,의원,031-411-7582,"경기도 안산시 단원구 예술대학로 9, 401,402호 (고잔동, 보배프라자)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,,,2022-06-01
우피부과의원,의원,031-480-7461,"경기도 안산시 단원구 고잔1길 16, 502호 (고잔동, 중앙마케이트)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~15:00,,,2022-06-01
우호의료소비자생활협동조합비올의원,의원,031-487-2888,"경기도 안산시 단원구 광덕대로 174, 월드타운 에이동 302호 (고잔동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,,,2022-06-01
원곡바른메지칼의원,의원,031-491-7585,경기도 안산시 단원구 원곡로 55 (원곡동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~16:00,09:00~16:00,2022-06-01
원곡하늘의원,의원,031-492-1355,경기도 안산시 단원구 원곡1로 47 (원곡동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,,09:00~16:00,2022-06-01
월드코아의원,의원,031-433-2088,"경기도 안산시 단원구 중앙대로 915, 511호 (고잔동, 월드코아)",10:00~18:00,10:00~18:00,10:00~18:00,14:00~19:00,10:00~18:00,09:00~13:00,,,2022-06-01
유로진비뇨기과의원,의원,031-405-1831,"경기도 안산시 단원구 고잔1길 16, 203호 (고잔동, 중앙마케이트빌딩)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~14:00,,,2022-06-01
유소아과의원,의원,031-484-1977,"경기도 안산시 단원구 원선로 50, 307호 (원곡동, 벽산블루밍상가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,,09:00~13:00,2022-06-01
윤이비인후과의원,의원,031-401-4172,"경기도 안산시 단원구 예술대학로 9, 307호 (고잔동, 보배플라자)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~15:00,,,2022-06-01
윤정신과의원,의원,031-402-7575,"경기도 안산시 단원구 예술대학로 9, 306호 (고잔동, 보배프라자)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~15:00,,,2022-06-01
이상기이비인후과의원,의원,031-484-7700,경기도 안산시 단원구 화랑로 103 (원곡동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,2022-06-01
이석우피부과의원,의원,031-405-0803,"경기도 안산시 단원구 선부광장1로 72, 309호 (선부동, 훼미리프라자)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~15:00,,,2022-06-01
이선희산부인과의원,의원,031-413-3030,"경기도 안산시 단원구 예술대학로 9, 3층 (고잔동, 보배프라자)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~15:00,,,2022-06-01
이용주산부인과의원,의원,031-494-9856,"경기도 안산시 단원구 화랑로 71, 2층 (원곡동)",09:30~18:30,09:30~17:00,09:30~18:30,09:30~17:00,09:30~18:30,09:30~14:00,,,2022-06-01
이제심혈을다하는내과의원,의원,031-405-6026,"경기도 안산시 단원구 광덕대로 168, 신화타운 203호 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
이진수정형외과의원,의원,031-405-3399,"경기도 안산시 단원구 광덕대로 168, 401~407호 (고잔동, 신화타운)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:30~13:00,,,2022-06-01
이홍준소아과의원,의원,031-482-8110,"경기도 안산시 단원구 선부광장1로 56, 304호 (선부동, 일성이즈마트)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:30~13:00,09:30~13:00,2022-06-01
이희승내과의원,의원,031-480-3718,경기도 안산시 단원구 당곡2로 23  (고잔동),09:30~18:10,09:30~18:10,09:30~18:10,09:30~18:10,09:30~18:10,09:30~14:30,,,2022-06-01
임정신과의원,의원,031-402-1285,"경기도 안산시 단원구 화랑로 358, 2층 (고잔동, 자유센터)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
잇츠미의원,의원,031-401-9040,"경기도 안산시 단원구 고잔1길 7, 석탑프라자 601~608호 (고잔동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~16:00,,,2022-06-01
장내과의원,의원,031-494-8442,경기도 안산시 단원구 화랑로 30 (원곡동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:30,,,2022-06-01
장성익소아과의원,의원,031-486-2368,"경기도 안산시 단원구 선부광장1로 70, 206호 (선부동, 군자빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,2022-06-01
젊은신경과의원,의원,031-483-7075,"경기도 안산시 단원구 광덕대로 138, 305~309호 (고잔동, 골든에이스프라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
정내과의원,의원,031-401-5231,"경기도 안산시 단원구 선부광장1로 72, 3층 (선부동, 훼미리프라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
정우산부인과의원,의원,031-411-0311,"경기도 안산시 단원구 중앙대로 907, 안산종합상가 1동 3층 1305, 1306호 일부호 (고잔동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~13:00,,,2022-06-01
정우석정형외과의원,의원,031-487-2119,"경기도 안산시 단원구 라성안길 17, 301, 308호 (원곡동, 베스트플라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
정이비인후과의원,의원,031-401-8085,"경기도 안산시 단원구 초지로 100, 303호 (초지동, 세종프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
정환교피부과의원,의원,031-402-7500,"경기도 안산시 단원구 중앙대로 915, 5층 (고잔동, 월드코아)",09:30~18:00,09:30~18:00,,09:30~19:00,09:30~18:00,07:30~11:30,,,2022-06-01
제이미의원,의원,031-485-2882,"경기도 안산시 단원구 선부광장1로 66, 401,406호 (선부동, 용현빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,,,2022-06-01
제이제이피부과의원,의원,031-480-8624,"경기도 안산시 단원구 예술대학로 20, 203호 (고잔동, 전원빌딩)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:00,,,2022-06-01
제일마취통증의학과의원,의원,031-483-7989,"경기도 안산시 단원구 선부광장1로 66, 204호 (선부동, 용현빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
제일조은내과의원,의원,031-365-5775,"경기도 안산시 단원구 선부광장로 23, 안산세이브시티 3층 301(일부)호 (선부동)",09:00~21:00,09:00~18:00,09:00~21:00,09:00~18:00,09:00~21:00,09:00~14:00,09:00~13:00,09:00~13:00,2022-06-01
제중의원,의원,031-494-3898,"경기도 안산시 단원구 라성안길 1, 204호 (원곡동, 삼우상가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
조비뇨기과의원,의원,031-413-2888,경기도 안산시 단원구 고잔로 76 (고잔동),09:30~18:30,09:30~18:30,,09:30~18:30,09:30~18:30,09:30~13:00,,,2022-06-01
조은맘산부인과의원,의원,031-439-8888,"경기도 안산시 단원구 초지로 90, 5층 (초지동, 태영프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,08:30~16:00,,,2022-06-01
중앙방사선과의원,의원,031-480-0220,"경기도 안산시 단원구 고잔로 76, 206,303-5호 (고잔동, 영풍맘모스프라자)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,,2022-06-01
중앙성모안과의원,의원,031-484-5114,"경기도 안산시 단원구 중앙대로 915, 5층 13,14호 (고잔동, 월드코아)",09:30~18:30,09:30~18:30,09:30~18:30,14:00~20:00,09:30~18:30,09:30~13:00,,,2022-06-01
중앙안산의원,의원,031-484-7447,"경기도 안산시 단원구 선부광장1로 56, 3층 303,305호 (선부동, 일성빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
중앙이비인후과의원,의원,031-506-1636,경기도 안산시 단원구 광덕3로 178  (고잔동),09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,09:30~13:00,2022-06-01
차안과의원,의원,031-482-7008,"경기도 안산시 단원구 라성로 48, A동 301호 (원곡동, 보성상가)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,,,2022-06-01
차앤박피부과의원,의원,031-405-7878,"경기도 안산시 단원구 중앙대로 907, 1동 (고잔동, 안산종합상가1402~1404호, 1405호일부)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,09:30~16:00,,,2022-06-01
참내과의원,의원,031-487-8383,경기도 안산시 단원구 광덕대로 174  (고잔동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
참마취통증의학과의원,의원,031-364-8811,"경기도 안산시 단원구 선부광장1로 56, 405호 (선부동, 일성이즈마트)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,,,2022-06-01
참조은내과의원,의원,031-439-7275,"경기도 안산시 단원구 원포공원1로 35, 305호 (초지동, 제일프라자)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
청담정형외과의원,의원,031-486-2888,"경기도 안산시 단원구 선부광장1로 38, 303,304호 (선부동, 상록타운)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
최비뇨의학과의원,의원,031-485-3977,"경기도 안산시 단원구 라성로 43, 305호 (원곡동, 벽산블루밍상가)",09:00~19:00,09:00~19:00,09:00~19:00,14:00~19:00,09:00~19:00,09:00~14:00,,,2022-06-01
최원호안과의원,의원,031-439-7557,"경기도 안산시 단원구 선부광장1로 62, 302호 (선부동, 동원상가)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,09:30~13:00,09:30~13:00,2022-06-01
최재활의학과의원,의원,031-402-6792,"경기도 안산시 단원구 광덕1로 159, 대림프라자 201~203, 206~207, 303~307, 507 (고잔동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,2022-06-01
코알라소아청소년과의원,의원,031-439-2223,"경기도 안산시 단원구 화랑로 160, 단지내 상가 203~205호 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~13:00,,,2022-06-01
코코이비인후과의원,의원,031-487-1410,"경기도 안산시 단원구 원초로 30 (원곡동, 보성프라자 408호)",09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~19:00,09:00~13:00,,,2022-06-01
크리스탈의원,의원,031-401-0780,"경기도 안산시 단원구 고잔로 102, 505,506호 (고잔동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,,,2022-06-01
탐탐성형외과의원,의원,031-414-5858,"경기도 안산시 단원구 예술대학로 11, 303호 (고잔동, 해남빌딩)",10:00~18:00,10:00~18:00,13:00~18:00,10:00~18:00,10:00~21:00,10:00~15:00,,,2022-06-01
탑정형외과의원,의원,031-418-2772,"경기도 안산시 단원구 고잔로 88, 401~404호 (고잔동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,2022-06-01
톡스앤필의원,의원,031-402-4842,"경기도 안산시 단원구 예술대학로 17, 620~622호 (고잔동, 안산중앙노블레스)",10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:30~20:30,10:30~17:00,10:30~17:00,,2022-06-01
트렌디의원,의원,031-413-1016,"경기도 안산시 단원구 선부광장북로 36, 1층 106호 (선부동, 벽산블루밍아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,2022-06-01
평화의원,의원,031-494-6004,"경기도 안산시 단원구 다문화길 15, 2층 (원곡동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,2022-06-01
포도나무메디컬의원,의원,032-882-7588,"경기도 안산시 단원구 대남로 6 (대부북동,번지외1필지)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,,,,2022-06-01
포에버의원,의원,1599-8340,"경기도 안산시 단원구 고잔로 88, 803~805호 (고잔동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~16:00,,,2022-06-01
푸른솔내과의원,의원,031-413-0875,"경기도 안산시 단원구 광덕서로 86, 202,203호 (고잔동, 안산법조타운)",09:30~19:00,09:30~13:30,09:30~19:00,09:30~13:30,09:30~19:00,09:30~13:30,,,2022-06-01
풍림메디의원,의원,031-410-0110,경기도 안산시 단원구 초지2로 67-17 (초지동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~13:00,,,2022-06-01
